,genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
47,"[80, 53, 18]",274,en,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",4.2756,1991-02-14,The Silence of the Lambs,8.346,17569
48,"[53, 9648]",567,en,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,7.64,1954-08-01,Rear Window,8.344,7009
49,"[16, 28, 12, 878]",569094,en,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse's very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",28.2579,2023-05-31,Spider-Man: Across the Spider-Verse,8.335,8255
50,[18],73,en,"Derek Vineyard is paroled after serving 3 years in prison for killing two African-American men. Through his brother, Danny Vineyard's narration, we learn that before going to prison, Derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout L.A. and his actions greatly influenced Danny. Reformed and fresh out of prison, Derek severs contact with the gang and becomes determined to keep Danny from going down the same violent path as he did.",8.789,1998-07-01,American History X,8.328,12322
51,"[12, 35, 878]",105,en,"Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.",16.5486,1985-07-03,Back to the Future,8.324,21380
52,"[12, 14, 16]",128,ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",10.8275,1997-07-12,Princess Mononoke,8.322,8766
53,"[16, 14, 28]",620249,zh,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",4.4243,2019-08-27,The Legend of Hei,8.32,440
54,"[16, 878, 10751, 12, 18]",1184918,en,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",16.5179,2024-09-12,The Wild Robot,8.313,5723
55,[18],3782,ja,"Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.",4.4156,1952-10-09,Ikiru,8.313,1293
56,[18],207,en,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",12.1438,1989-06-02,Dead Poets Society,8.301,12292
